ID,Firm_ID,Year_of_Establishment,FirmName,Legal_Representative,Registered_Capital,Paid_in_Capital,Date_of_Establishment,Business_Status,Unified_social_credil_code,Registration_number,Taxpayer_number,Organization_code,Type_of_enterprise,Industry,Date_of_approval,Registration_Authority,Term_of_operation,Taxpayer_qualification,Staff_size,Insured_number,Former_name,English_name,Registered_address,Business_scope,Email,Label,Province,Province_code,City,City_code,County,County_code
51491071,0ed7a6e88b07710fad290cac597c7892,2011,册亨县庆坪乡光碧食杂店,饶光碧,0.0001万人民币,,2011-08-04,存续,,,,,,,,,,,,,,,,,,,贵州省,520000,黔西南布依族苗族自治州,522300,册亨县,522327
123613238,01a01630e41556c191747ad074612338,2012,哈尔滨市南岗区好家居房屋信息咨询部,徐艳菲,,,2012-08-23,存续（在营、开业、在册）,,230103600762955,未公开,,个体工商户,None,None,哈尔滨市南岗区跃进市场监督管理所,未公开,,,,None,未公开,哈尔滨市南岗区征仪花园F区04栋1单元301号,房屋信息咨询,,None,黑龙江省,230000,哈尔滨市,230100,南岗区,230103
118716094,4877a91db781820286847eed667204e1,2011,南宁市树卓五金店,韦锡友,-,,2011-10-10,存续,,,,,,,None,,,,,,,,,,,None,广西壮族自治区,450000,南宁市,450100,青秀区,450103
49697299,e8bec5bacf185dd501e475f60621f6f5,2012,灯塔市至诚箱包店二部,李绍扬,5万人民币,,2012-12-17,存续,,,,,,,,,,,,,,,,,,小微企业,辽宁省,210000,辽阳市,211000,灯塔市,211081
105981205,a40493cef91de6647ba44b5fae971a6a,2011,湖北东方广场商贸有限公司胜利三路百安居房产分公司,赵艳,,,2011-09-05,注销,,420500000127207,None,57989819-7,有限责任公司分公司(自然人投资或控股),房地产业,None,宜昌市工商行政管理局,2011-09-05至无固定期限,,,,宜昌漫浓商贸有限公司胜利三路百安居房产分公司,None,宜昌市夷陵大道156-1号,从事各类房地产项目策划、商品房销售、存量房居间代理活动、提供房地产咨询及代办手续等经营活动；提供银行按揭咨询及代理；市场营销策划（经营范围中涉及许可项目的须办理许可手续后经营）+,,,湖北省,420000,宜昌市,420500,伍家岗区,420503
148256639,81c692ed44fde5fd60f061c28bc15c40,2011,天宁区青龙德顺家具经营部,成良贵,1万元人民币,,2011-01-11,注销,,320402600335913,未公开,未公开,个体工商户,零售业,None,常州市天宁区市场监督管理局,2011-01-11,,,,None,未公开,青龙街道龙城大道608号家家爱国际家居广场内,家具零售。（以上经营范围凡涉及国家专项审批规定的，均需办理专项审批后方可经营。）,,None,江苏省,320000,常州市,320400,天宁区,320402
98526552,524c6847ca6efb5a4508ce0c113d7bc8,2011,阜阳市颍东区杨楼万家乐超市,汤传珍,10万人民币,,2011-06-14,存续,,,,,,,,,,,,,,,,,,小微企业,安徽省,340000,阜阳市,341200,颍东区,341203
142462827,45b46822b21cbe4470878850a6388375,2011,南乐县世超饲料门市,万世超,,,2011-07-20,存续（在营、开业、在册）,,410923699062969,未公开,,个体工商户,批发和零售业,None,南乐县工商行政管理局,未公开,,,,None,未公开,元村镇元村东小街,饲料销售,,None,河南省,410000,郑州市,410100,金水区,410105
138089925,ee6d9e66d660f493a12374b6bb4dfa94,2012,罗平县长底乡衣衣不舍服装店,高林兴,,,2012-05-11,注销,,530324600198350,914401010880368243,,个体工商户,None,None,罗平县市场监督管理局,2013-12-12,,,,None,未公开,罗平县长底乡长底街,服装零售。,,None,云南省,530000,曲靖市,530300,罗平县,530324
64866512,10932764a9c2f5ed17af27f6f5cae226,2011,福鼎市白琳雷允标日杂店,雷允标,0.75万人民币,,2011-05-11,注销,,,,,,,,,,,,,,,,,,,福建省,350000,宁德市,350900,福鼎市,350982
97028304,6db4c7d9a9013bcd79834e4c680a5db9,2012,郑州市金水区富道保健按摩店,冯林冯,,,2012-06-06,注销,,,,,,,,,,,,,,,,,,,河南省,410000,郑州市,410100,金水区,410105
27530693,472ff9fe23346d4c4a27283684d8b934,2012,北京星宇商工汽车部件有限公司工会委员会,,-,-,2012-11-14,-,-,-,-,-,工会法人,-,,北京市平谷区质量技术监督局,-,-,-,-,-,-,-,-,,,北京市,110000,北京市,110000,东城区,110101
112348720,a306cde6e3b42eabca9921a1740e33ee,2012,杭州热地贸易有限公司,马根菊,2180万,,2012-05-11,存续,,330104000170469,91330104596606141B,59660614-1,一人有限责任公司(自然人独资),批发和零售业,None,杭州市江干区市场监督管理局,2012-05-11至9999-09-09,,,,None,None,杭州市江干区新城时代广场2幢2313室,批发零售：日用百货、服装鞋帽、化妆品、饰品、文体用品、玩具、家具、家电、电子产品、家居用品、针纺织品、汽车用品、汽车配件、五金制品、塑料制品、玻璃制品、橡胶制品、皮革制品、电脑软硬件、宠物用品、医疗器械（限一类）、建筑装饰材料、珠宝、化工原料及产品(除危险化学品及易制毒化学品)、纺织原料(除棉花)、消防...,,,浙江省,330000,杭州市,330100,江干区,330104
120396259,9ebbfd17fb82e1fd54b6a2cdf0d39919,2011,介休市绵山风景区海斌副食摊点,武海斌,-,,2011-06-13,存续,,530300600082324,未公开,未公开,,机动车、电子产品和日用产品修理业,None,曲靖市工商行政管理局,未公开,,,,None,未公开,曲靖开发区西苑小区红绿灯口（盛世家居对面）,洗车服务、汽、汽车装饰、装璜、汽车用品销售;三类汽车维修（供油系统维护及油品更换）,,None,云南省,530000,曲靖市,530300,麒麟区,530302
122681764,75992aaa4562eab9b10debd92b9ebc8c,2012,深圳市安强展贸易商行,徐振安,(人民币)3.0000万人民币,,2012-03-15,存续,,,,,,,None,,,,,,,,,,,None,广东省,440000,深圳市,440300,福田区,440304
107693636,86a37030e8b57521d7f426dfe90e3dab,2011,青岛红昊工艺品有限公司,刘正涛,50万,,2011-04-28,在营,,370214230055117,91370214572078751U,57207875-1,有限责任公司(自然人投资或控股),制造业,None,青岛市城阳区工商行政管理局,2011-04-28至无固定期限,,,,None,None,青岛市城阳区城阳街道古庙头社区居委会西600米,生产、加工：仿真首饰、工艺礼品、玻璃制品、橡塑制品、皮革、包装材料、纺织品、服装鞋帽、电子产品、电子元器件、箱包、金属制品、日用百货；货物进出口（法律、行政法规禁止的项目除外，法律、行政法规限制的项目应取得许可证方可经营）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,,,山东省,370000,青岛市,370200,城阳区,370214
62080373,b1f1eb17e55aa274046b5e7d02df2674,2012,五家渠太阳神养生馆,韩永萍,3万人民币,,2012-06-01,存续,,,,,,,,,,,,,,,,,,小微企业,新疆维吾尔自治区,650000,五家渠市,659004,五家渠市,659004
148379160,0edbc98baf18d95a75b79e25b5ea0cba,2011,川DD7503,苏光欣,,,2011-09-21,在营（开业）,,510422600089434,未公开,,个体工商户,None,None,攀枝花市盐边县工商局,未公开,,,,None,未公开,盐边县红格镇,公路运输。,,None,四川省,510000,攀枝花市,510400,盐边县,510422
107323156,2d38b63244f92add1a08c1d7b2e9238a,2011,北京正泰强业商贸有限公司,孙强,10万元人民币,,2011-04-26,存续（在营、开业、在册）,,110105013809806,911101055731702349,,有限责任公司(自然人独资),批发和零售业,None,朝阳分局,2011-04-26至2031-04-25,,,,北京博金联盛咨询顾问有限公司,None,北京市朝阳区南磨房路37号1701-1703室(华腾北搪集中办公区177650号),销售五金交电、建筑材料、机械设备、电子产品、化工产品（不含危险化学品）、仪器仪表、日用品、工艺品、服装、汽车配件、文具用品、新鲜蔬菜、新鲜水果、未经加工的干果、坚果、谷物、计算机、软件及辅助设备；货物进出口；技术进出口；代理进出口。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,,北京市,110000,北京市,110000,朝阳区,110105
96989849,9fe39987a296d33500e0d93f82a12804,2011,广州市白云区太和梁日荣百货店,梁日荣,0.00003万人民币,,2011-07-07,在营企业,,,,,,,,,,,,,,,,,,,广东省,440000,广州市,440100,白云区,440111
38021184,b28eb8c3af789d7284dd1866619bb6c7,2012,隆阳区向玉怀德仁药房连锁店,李向玉,0.0005万人民币,,2012-07-02,存续,,,,,,,,,,,,,,,,,,小微企业,云南省,530000,保山市,530500,隆阳区,530502
127494891,01658b4ed0c403cc49622194eb9ee91a,2011,昆区王富服装店,杜巧霞,,,2011-04-28,存续,,150203600332536,未公开,,个体工商户,None,None,包头市昆都仑区市场监督管理局,2011-09-06,,,,None,未公开,内蒙古自治区包头市昆区东华货仓店,许可经营项目： 一般经营项目：服装 鞋零售 (依法须经批准的项目，经相关部门批准后方可开展经营活动)〓,,None,内蒙古自治区,150000,包头市,150200,昆都仑区,150203
145670291,efaf7c0a130f80facddf09e607889b7b,2011,武川县金顺发骨头莜面店,张福云,,,2011-04-18,注销,,150110600062868,未公开,,个体工商户,None,None,武川县市场监督管理局,未公开,,,,None,未公开,内蒙古自治区呼和浩特市武川县可镇金三角,许可经营项目：餐饮无凉拼服务(餐饮服务许可证的效期至2012年4月14日) 一般经营项目：无(国家法律法规应经审批的未获审批前不得生产经营) (依法须经批准的项目，经相关部门批准后方可开展经营活动)〓,,None,内蒙古自治区,150000,呼和浩特市,150100,武川县,150125
16581098,22658b97e4bb6904c7b06d86a219470b,2012,上海玢煜货物运输代理有限公司,钱兰英,50万人民币,50万人民币,2012-06-21,存续,91310115598172017K,310115001984193,91310115598172017K,598172017,有限责任公司(自然人投资或控股),装卸搬运和运输代理业,,浦东新区市场监管局,2012-06-21至2022-06-20,-,-,0,-,-,浦东新区老港镇良欣路456号2幢187室,国内货物运输代理服务，装卸服务，仓储服务（除危险品），集装箱拼拆装服务，从事货物及技术的进出口业务，日用百货、电子产品、建材、通讯器材、服装服饰的销售。【依法须经批准的项目，经相关部门批准后方可开展经营活动】,qianlanfang6364@126.com,小微企业,上海市,310000,上海市,310000,浦东新区,310115
47270208,49cfd8c25d90c14ae76345994f39d346,2011,彝良县玙琪日用品店,杨照荣,2万人民币,,2011-08-12,注销,,,,,,,,,,,,,,,,,,,云南省,530000,昭通市,530600,彝良县,530628
67790005,cae338a01d649b45b37d3234988b7032,2011,宿州市埇桥区马公贤商店,马公贤,,,2011-04-11,注销,,,,,,,,,,,,,,,,,,,安徽省,340000,宿州市,341300,埇桥区,341302
76787888,1d0747c8bd0ef97ebca119cd93084806,2012,南昌市青山湖区鄢正兴自行车修理店,鄢正兴,1万人民币,,2012-03-31,注销,,,,,,,,,,,,,,,,,,,江西省,360000,南昌市,360100,青山湖区,360111
57812359,7e81fc454217fade44fda8cad573464b,2012,蒙城县乐土镇赵艳服装店,赵艳,1万人民币,,2012-10-17,存续,,,,,,,,,,,,,,,,,,小微企业,安徽省,340000,亳州市,341600,蒙城县,341622
142471000,016bdb611d26adfc9ac3c5bac5192168,2011,九龙坡区杨家坪杨洋图文工作室,王俊,未公开,,2011-12-19,存续,,500107600318978,未公开,未公开,个体工商户,印刷和记录媒介复制业,None,重庆市工商行政管理局九龙坡区分局,未公开,,,,None,未公开,重庆市九龙坡区杨家坪横街28号1-2号,复印、打印（按许可证核定事项及期限从事经营）；名片制作服务。[法律、法规禁止的项目不得经营；法律、法规限制的项目取得许可后方可经营],,None,重庆市,500000,重庆市,500000,九龙坡区,500107
17358956,35901f133dab1493b20cb3ad1543054f,2012,扬州金沃机械有限公司,姚思常,800万美元,572.1万美元,2012-11-12,吊销，未注销,-,321000400023903,-,-,有限责任公司(台港澳法人独资),批发业,,江苏省扬州市场监督管理局,2012-11-12至2022-11-11,-,-,-,-,-,扬州市邗江区杨庙镇赵庄村,许可经营项目：无 一般经营项目：液压马达、电机生产,,,江苏省,320000,扬州市,321000,邗江区,321003
94376876,ec99fc32b2baac987b7b3ac93cc2e804,2012,三棵松科技恒口镇服务中心,易全群,0.0002万人民币,,2012-06-20,开业,,,,,,,,,,,,,,,,,,,陕西省,610000,西安市,610100,新城区,610102
134911405,8819cfac8343d16323f796bec3b2b379,2012,临湘市宇浩电脑销售部,刘威,,,2012-09-10,存续（在营、开业、在册）,,430682600163028,913306810974955716,,个体工商户,批发和零售业,None,临湘市市场和质量监督管理局,2014-04-17,,,,None,未公开,湖南省临湘市福桥路宏源西街,计算机零售，电子阅读器（电子书）销售，其他办公设备维修，计算机零配件、软件、办公设备耗材、通信设备、安全技术防范产品、电子元器件的零售，计算机和辅助设备、通讯设备的修理。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,None,湖南省,430000,岳阳市,430600,临湘市,430682
132947500,780c48ca0d398729f90bd1722fa29e16,2012,武江区妆点化妆品店,陆稳,未公开,,2012-02-14,注销,,440203600116585,未公开,未公开,个体工商户,零售业,None,韶关市武江区工商行政管理局,未公开,,,,None,未公开,武江区新华北路7号茶叶大厦11楼1102房,销售化妆品(以上经营项目法律、法规禁止的项目除外，法律、行政法规限制的项目取得许可后在有效期内方可经营) (依法须经批准的项目，经相关部门批准后方可开展经营活动)〓,,None,广东省,440000,韶关市,440200,武江区,440203
63314810,8a6e1429b8e46dc2f821995206d4bd81,2011,银川市西夏区亿达租赁站,楚栓成,50万人民币,,2011-10-12,注销,,,,,,,,,,,,,,,,,,,宁夏回族自治区,640000,银川市,640100,西夏区,640105
38190567,0760b880e09000799d623ca4d11e9dc2,2012,惠民县孙武镇曙光印刷厂,李英芳,2万人民币,,2012-12-25,在营企业,,,,,,,,,,,,,,,,,,,山东省,370000,滨州市,371600,惠民县,371621
140363695,73db6a383d9ba44a24f020a77e58e206,2011,崂山区民辉达机械厂,姜志民,,,2011-09-22,存续,,370212600179143,未公开,,个体工商户,制造业,None,青岛市崂山区工商行政管理局,2005-05-18,,,,None,未公开,青岛市崂山区北宅街道峪夼社区,机械加工。(依法须经批准的项目，经相关部门批准后方可开展经营活动）,,None,山东省,370000,青岛市,370200,崂山区,370212
114578630,ad4e207a78549f123a8e890616346673,2011,长泰县宝珠针织有限公司,杨宝珠,3万人民币,,2011-03-07,存续（在营、开业、在册）,,,91350625569291076B,56929107-6,有限责任公司,制造业,None,福建省长泰县工商行政管理局,2011-03-07至2061-03-06,,,,None,None,长泰县武安镇中山北路南幢603号,针织羊毛衫制造。(依法须经批准的项目，经相关部门批准后方可开展经营活动),,,福建省,350000,漳州市,350600,长泰县,350625
70566000,d55390113e7bee05afefba582ec56653,2011,德兴市祥龙水晶加工厂,叶智君,200万人民币,,2011-03-04,开业,,,,,,,,,,,,,,,,,,小微企业,江西省,360000,上饶市,361100,德兴市,361181
141747518,c0c8fa7fca2243682346fbcd273aaacc,2012,歙县龙泓砚舍,许兴宝,,,2012-03-16,存续（在营、开业、在册）,,341021600126373,未公开,,个体工商户,None,None,歙县徽城市场监督管理所,未公开,,,,None,未公开,歙县徽城镇五里栏杆徽州新天地2幢2003室,文房四宝，批发、零售。,,None,安徽省,340000,黄山市,341000,歙县,341021
84910737,3e0b368d24bcfb9d4b1c603cd2b843fa,2012,公安县毛家港镇红旗农资经营部,枚运清,,,2012-09-18,存续,,,,,,,,,,,,,,,,,"""13972343935@qq.com"",""429546286@qq.com""",小微企业,湖北省,420000,荆州市,421000,公安县,421022
37102567,e92e3c09c00c19deae82de350a4f751a,2012,前郭尔罗斯蒙古族自治县套浩太乡小赵农机修理,赵德才,8万人民币,,2012-02-17,存续,,,,,,,,,,,,,,,,,,小微企业,吉林省,220000,松原市,220700,前郭尔罗斯蒙古族自治县,220721
146542717,7252679e0b80d8427e7766010d8e9d7d,2011,镇平县南洋服饰广场,鲍文华,,,2011-11-04,存续（在营、开业、在册）,,411324622057233,91350213M0001JJA08,,个体工商户,批发和零售业,None,镇平县工商行政管理局张林工商所,2015-09-10,,,,None,未公开,镇平县张林街十字口,服装 销售*,,None,河南省,410000,南阳市,411300,镇平县,411324
107805757,e5471c674c40415a216685881ffa656e,2012,绍兴铭欧纺织品有限公司,戈本国,100.000000万元人民币,,2012-02-22,存续,,330621000186452,91330621590578813G,590578813,有限责任公司(自然人独资),批发业,None,绍兴市柯桥区市场监督管理局,2012-02-22至2032-01-31,,,,绍兴县铭欧纺织有限公司,None,浙江省绍兴市柯桥区柯桥永利大厦306-6室,None,,,浙江省,330000,绍兴市,330600,柯桥区,330603
84989562,6420e2a22dd7f7d3aed49650e33e0011,2011,秦州区汪爱弟百货商店,汪爱弟,,,2011-10-24,存续,,,,,,,,,,,,,,,,,,,甘肃省,620000,天水市,620500,秦州区,620502
128456885,f866609a39c6fe7562d3b4d28ae95c74,2012,宝鸡市金台区众信水暖经营部,肖正有,未公开,,2012-06-26,注销,,610303640015581,未公开,未公开,个体工商户,批发业,None,宝鸡市工商行政管理局金台分局,未公开,,,,None,未公开,宝鸡市金台区中山东路工业品市场,批发兼零售水暖器材，五金机电，卫生间洁具。,,None,陕西省,610000,宝鸡市,610300,金台区,610303
87476840,99efadc9fd1b15ae37785c28a097a74b,2012,青州市益群良种猪养殖场,韩来祥,0.003万人民币,,2012-12-13,在营企业,,,,,,,,,,,,,,,,,,小微企业,山东省,370000,潍坊市,370700,青州市,370781
113561957,bacfcafacf0e7056e5d7d7861f9c6d72,2011,惠州市城市之光广告有限公司,李洪斌,50万元人民币,,2011-04-14,存续,,441300000146082,91441300572396522U,57239652-2,有限责任公司(自然人投资或控股),租赁和商务服务业,None,惠州市工商行政管理局,2011-04-14至无固定期限,,,,None,None,惠州市鹅岭南路31号鹅城国际大厦8层08房（仅限办公）,广告经营[户外广告凭审批经营]，礼仪庆典策划，企业形象策划，平面设计，广告装饰材料、文体用品、影音器材的销售。（以上均不含法律、行政法规、国务院决定规定需前置审批和禁止的项目，此地址不设商场仓库经营）(依法须经批准的项目，经相关部门批准后方可开展经营活动)〓,,,广东省,440000,惠州市,441300,惠城区,441302
146066531,a1df26ab50e8f7e94344a9d3188cad35,2012,广州市花都区狮岭宏赢油边厂,余光,未公开,,2012-08-15,存续,,440121600505066,未公开,未公开,个体工商户,文教、工美、体育和娱乐用品制造业,None,广州市花都区工商行政管理局,未公开,,,,None,未公开,广州市花都区狮岭镇合成历一队路西52号六楼*,加工：油边。 (依法须经批准的项目，经相关部门批准后方可开展经营活动)〓,,None,广东省,440000,广州市,440100,花都区,440114
66594434,29395edcd177606106fd7d36542dddf5,2011,玉泉区月元烟酒副食超市,银月元,0.5万人民币,,2011-03-02,注销,,,,,,,,,,,,,,,,,,小微企业,内蒙古自治区,150000,呼和浩特市,150100,玉泉区,150104
110675324,f2a7fe27fd6de60f8e0851ef21d996a3,2012,杭州睿仕交通器材有限公司,梅启明,50万人民币,,2012-10-24,存续,,330198000053269,91330101599593120T,59959312-0,有限责任公司(自然人投资或控股),批发和零售业,None,杭州市市场监督管理局大江东分局,2012-10-24至9999-09-09,,,,None,None,浙江省杭州大江东产业集聚区河庄街道同一村,生产、加工：服装、交通器材；经销：道路交通设施、塑料制品；技术开发、技术咨询、技术服务、成果转让：交通器材、网络信息技术（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,,浙江省,330000,杭州市,330100,萧山区,330109
99110248,8a65f9fff2cb020796b1aa0723926666,2011,阜新蒙古族自治县嘉盛养殖场,刘英莉,,,2011-09-22,存续,,,,,,,,,,,,,,,,,"""327024454@qq.com"",""740464612@qq.com"",""740441676@qq.com""",小微企业,辽宁省,210000,阜新市,210900,阜新蒙古族自治县,210921
124483774,253f86f3e2a3e4698411a4a0041ff97a,2012,伊宁边境经济合作区钟宗渔具店,宗永生,,,2012-03-24,在营（开业）,,654102610042733,91429006MA48A7259R,,个体工商户,None,None,伊宁市工商行政管理局,2016-05-25,,,,None,未公开,伊宁市江南春晓22栋102号,许可经营项目：无。一般经营项目：鱼具、鱼食销售。,,None,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,伊宁市,654002
79085866,0c8744cf54ead487d7c1cbb2a242b974,2011,周村经典烘焙蛋糕坊,谭小如,2万人民币,,2011-09-26,在营企业,,,,,,,,,,,,,,,,,,小微企业,山东省,370000,淄博市,370300,周村区,370306
134305064,aed59d08f8d4c863304c2dda659d6728,2012,吴江市汾湖镇双龙农产品商行,姚菊明,5万元人民币,,2012-02-16,注销,,320584600543314,未公开,未公开,个体工商户,批发业,None,苏州市吴江区市场监督管理局,2012-02-16,,,,None,未公开,芦墟镇318国道北侧,许可经营项目：无。
一般经营项目：食用农产品销售。,,None,浙江省,330000,嘉兴市,330400,嘉善县,330421
108198313,5c5caffa4a7cd8443e9c6785020b0e82,2011,西安林发建材有限公司,田穗连,200万,,2011-07-28,存续,,610100100457180,91610113578421178F,57842117-8,有限责任公司(自然人投资或控股),软件和信息技术服务业,None,西安市工商行政管理局雁塔分局,2011-07-28至无固定期限,,,,None,None,西安市雁塔区雁环中路1号,一般经营项目：建筑材料、陶瓷制品、洁具、建材、钢材的销售；普通机械的租赁。（以上经营范围均不含国家规定的前置许可及专控、禁止项目）,,,陕西省,610000,西安市,610100,雁塔区,610113
71490839,532d99032f6b1aaf697f94e1beefab1f,2012,浦江县云宇针织厂,项伟荣,0.0005万人民币,,2012-09-12,存续,,,,,,,,,,,,,,,,,,小微企业,浙江省,330000,金华市,330700,浦江县,330726
98891638,dbe0b465a669a63f181a7b2d05deced9,2012,田花香（无字号名称）,田花香,,,2012-05-09,吊销，未注销,,,,,,,,,,,,,,,,,,,云南省,530000,昆明市,530100,五华区,530102
50000609,a9cf0b82d407b3be48983e227d1a8992,2012,林建月--湖南省城步苗族自治县白毛坪乡上坪村一组,林建月,3万人民币,,2012-11-05,注销,,,,,,,,,,,,,,,,,,,湖南省,430000,邵阳市,430500,城步苗族自治县,430529
117657041,e644800c024b151c2aebf3886d183bec,2012,梧州市长洲区窗之帘布艺店,卢敏玲,,,2012-07-31,存续（在营、开业、在册）,,450405600078878,91310120MA1HK2GF3A,,个人经营,批发和零售业,None,梧州市长洲区工商行政管理局大塘工商所,2015-11-04,,,,None,未公开,梧州市新兴二路124号8号铺,窗帘布艺零售。,,None,广西壮族自治区,450000,梧州市,450400,长洲区,450405
